Date,Close,High,Low,Open,Volume
,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
2016-02-25,2169.993408203125,2190.739043080784,2161.6951542520615,2174.142535178657,74008000
2016-02-26,2215.634033203125,2240.5287976211375,2182.4410139791084,2182.4410139791084,141175000
2016-02-29,2236.380126953125,2244.6783834538787,2219.7836139516176,2240.5292552035016,138837000
2016-03-01,2223.9326171875,2248.8273852903453,2215.6343611532184,2236.380001238923,79590500
2016-03-02,2232.231201171875,2248.827715678729,2211.4855580383073,2244.6785870520157,126069500
2016-03-03,2244.67822265625,2248.8273506094038,2228.0817108436345,2228.0817108436345,115057500
2016-03-04,2252.9765625,2273.7222030386743,2244.6783062845307,2257.125690607735,102347000
2016-03-07,2252.9765625,2265.4239468232045,2240.5291781767955,2257.125690607735,105623000
2016-03-08,2223.9326171875,2252.976513307486,2190.739593050373,2240.5291292560637,110122000
2016-03-10,2223.9326171875,2232.2308732217816,2182.4413370160914,2211.4852331360776,109073500
2016-03-11,2223.9326171875,2223.9326171875,2223.9326171875,2223.9326171875,0
2016-03-14,2223.9326171875,2223.9326171875,2223.9326171875,2223.9326171875,0
2016-03-15,2252.9765625,2257.125690607735,2240.5291781767955,2252.9765625,70072000
2016-03-16,2257.125244140625,2261.274371427648,2244.6778622795555,2257.125244140625,72058000
2016-03-17,2277.87109375,2298.616732126594,2261.2745830487247,2269.5728383993624,125371000
2016-03-18,2273.722412109375,2311.064568512631,2248.8276411738707,2265.4241551308737,120955000
2016-03-21,2286.16943359375,2306.9150727370693,2265.423794450431,2273.7220501077586,46224000
2016-03-22,2265.423583984375,2282.0200937571544,2252.9762016547907,2282.0200937571544,47434000
2016-03-23,2240.52880859375,2265.4235731336803,2228.0814263237844,2265.4235731336803,52128000
2016-03-24,2211.4853515625,2232.2309927591464,2199.037966844512,2223.932736280488,73214500
2016-03-28,2186.590087890625,2211.4848516996262,2165.8444513831237,2211.4848516996262,59829500
2016-03-29,2169.993408203125,2194.8881700563156,2169.993408203125,2186.589916105252,88822500
2016-03-30,2178.29248046875,2232.2311514136904,2178.29248046875,2178.29248046875,137086000
2016-03-31,2207.33642578125,2211.48555440114,2186.590782681802,2203.1872971613607,107951000
2016-04-01,2207.33642578125,2211.48555440114,2190.739911301692,2207.33642578125,73802500
2016-04-04,2211.4853515625,2228.081864519817,2207.3362233231705,2228.081864519817,49630500
